id,name,count
33426,gang member,8
41334,hispanic,9
164253,mexican american,10
180085,girl gang,5
206318,cholo,4
230668,chola,1
2799,cruise,19
189008,empire state building,3
208280,accident victim,1
641,single parent,36
1751,social work,3
1803,drug addiction,47
2434,liberation,15
2438,social worker,15
2488,self-abandonment,5
4056,custody battle,7
7638,surrogate mother,9
7856,racist,17
2011,queen,60
4152,kingdom,38
8250,victorian england,28
18130,psychopathy,14
4005,human experimentation,42
6737,frankenstein,49
65,holiday,213
171770,rollerblades,2
172789,cross dresser,5
192598,suicide hotline,1
2005,tree house,5
4750,red-light disctrict,5
6517,young people,10
166462,mob boss,11
1991,santa claus,60
2081,department store,31
4896,wish,31
2356,immigrant,61
208397,death of wife,7
1563,prisoner,64
3859,alcatraz,10
207240,murder trial,9
211082,mistreatment,5
215596,public defender,2
223044,prisoner abuse,1
2294,illegal employment,2
4948,retirement,27
8029,drama,135
1578,loss of sister,11
1608,twin sister,13
1646,autism,40
1889,lake,39
2171,kaspar-hauser-syndrom,2
5650,feral child,12
5774,forest,126
5922,north carolina,11
586,new jersey,24
156316,troubled teen,11
201820,hiphop,4
208384,black youths,1
3298,hallucination,59
15127,killer,136
679,cyborg,66
625,sadistic,20
736,journalist,135
1583,mass murder,45
1584,yellow press,4
8201,satire,115
9701,controversy,15
9859,controversial,17
206545,young couple,4
207691,abuse,22
110,venice,32
131,italy,111
1820,trip,19
100,slum,21
941,tradition,27
1452,loss of child,20
2320,violent husband,18
2658,new zealand,41
2659,maori,5
2660,strong woman,20
2663,lack of prospects,1
2667,maori tradition,2
3739,funeral,95
6267,approved school ,5
9986,crush,40
10766,youth gang,12
15158,rebellious youth,12
33841,incest,84
14794,lust,44
190370,erotic movie,119
1402,general,34
3664,research,27
6092,army,108
8803,serum,9
17995,epidemic,20
158025,medical research,5
782,assassin,126
1465,loss of family,29
4613,training,48
9957,loneliness,65
10226,neighbor,116
10703,tragic love,24
233083,complex relationship,1
233084,complex characters,1
1900,immigration,37
207901,political prisoner,4
208396,cuban refugees,1
4395,burning house,2
10791,teenage crush,45
15233,arsonist,6
396,transporter,25
4076,massage,7
8627,stolen money,16
9730,crime boss,20
10104,dance contest,10
11242,junkyard,8
11423,kamikaze,3
11434,ambiguous ending,3
11435,briefcase,5
11436,redemption,41
11442,heirloom,1
11446,pulp fiction,2
11447,reference to al green,1
7533,black panther,3
6150,faith,72
11937,conservative,5
14765,church,89
158431,united kingdom,12
172391,catholic priest,18
179567,crisis of faith,8
2571,tv show,33
2887,manipulation,33
2954,manipulation of the media,8
3977,product placement,8
7271,tv ratings,9
8072,quiz show,4
9303,fragen,1
2692,arranged marriage,33
10428,cultural difference,12
14669,older man younger woman relationship,34
159362,black and white scene,5
230009,asian american,1
3686,marriage of convenience,11
8846,konfession,1
9920,royalty,43
10089,slaughter,26
9930,prairie,4
13132,pistol,35
1158,grandfather grandson relationship,21
1421,birthday,47
190012,deathbed,4
2863,mannequin,21
6878,sandwich,4
6879,poodle,2
1533,isolation,51
4918,shadowing,12
5259,english channel,4
5260,geneva,3
4424,pain,20
4549,loss of husband,25
5257,to compose,1
928,hairdresser,19
2039,sexual frustration,9
4480,business man,36
21747,poland,21
3301,suspicion,30
11260,serial murder,9
208728,special education,1
10407,swan,2
158063,seal,4
186830,selkie,2
159358,explosives expert,2
3801,space travel,69
3822,teleportation,17
8862,uprising,13
11402,androgyny,6
11606,space western,3
12405,outer space,59
41414,timebomb,6
159138,death of son,9
160381,nuclear weapons,10
163250,invented language,1
163331,hieroglyph,1
163338,egyptian mythology,9
163347,egyptology,4
1441,christmas party,20
5570,christmas tree,20
4779,delinquent,16
8622,parole board,3
9777,escape from prison,32
12662,wrongful imprisonment,7
1448,distrust,9
2968,grave,22
10123,dark comedy,167
155704,shallow grave,3
1453,amnesia,86
12999,black and white,56
156097,evil twin,6
222156,film theory,1
227646,identity swapping,1
